genre,count
genre_vision_view_entertainment,0
genre_thriller,5572
genre_pulser_productions,0
genre_war,589
genre_fantasy,1583
genre_documentary,3528
genre_sentai_filmworks,0
genre_gohands,0
genre_action,4429
genre_mardock_scramble_production_committee,0
genre_family,2089
genre_crime,2566
genre_comedy,8842
genre_foreign,1285
genre_adventure,2138
genre_telescene_film_group_productions,0
genre_mystery,1510
genre_science_fiction,2050
genre_horror,3043
genre_drama,13272
genre_carousel_productions,0
genre_rogue_state,0
genre_the_cartel,0
genre_animation,1581
genre_romance,4238
genre_western,220
genre_aniplex,0
genre_history,858
genre_brosta_tv,0
genre_tv_movie,637
genre_odyssey_media,0
genre_music,883
